Symbol,Name,Country,Sector,Industry
CSLRW,Complete Solaria Inc. Warrants,United States,Health Care,Biotechnology: Pharmaceutical Preparations
KRNLW,Kernel Group Holdings Inc. Warrants,United States,Finance,Blank Checks
NCNCW,noco-noco Inc. Warrant,Singapore,,
FICVW,Frontier Investment Corp Warrants,United States,Finance,Blank Checks
SZZLW,Sizzle Acquisition Corp. Warrant,United States,Finance,Blank Checks
FICVU,Frontier Investment Corp Units,United States,Finance,Blank Checks
SYTAW,Siyata Mobile Inc. Warrant,Canada,Telecommunications,Telecommunications Equipment
PTWOW,Pono Capital Two Inc. Warrants,United States,Finance,Blank Checks
CETXP,Cemtrex Inc. Series 1 Preferred Stock,United States,Technology,Electrical Products
KPLTW,Katapult Holdings Inc. Warrant,United States,Consumer Discretionary,Diversified Commercial Services
SXTPW,60 Degrees Pharmaceuticals Inc. Warrant,United States,Health Care,Biotechnology: Pharmaceutical Preparations
SWVLW,Swvl Holdings Corp Warrant,United Arab Emirates,Consumer Discretionary,Business Services
NBSTW,Newbury Street Acquisition Corporation Warrants,United States,Finance,Blank Checks
CENTA,Central Garden & Pet Company Class A Common Stock Nonvoting,United States,Consumer Discretionary,Consumer Specialties
SVIIR,Spring Valley Acquisition Corp. II Rights,United States,,
SWKHL,SWK Holdings Corporation 9.00% Senior Notes due 2027,United States,,
AUROW,Aurora Innovation Inc. Warrant,United States,Technology,EDP Services
PWUPW,PowerUp Acquisition Corp. Warrant,United States,Finance,Blank Checks
FGIWW,FGI Industries Ltd. Warrant,United States,Industrials,Industrial Specialties
AUUDW,Auddia Inc. Warrants,United States,Technology,Computer Software: Prepackaged Software
AUVIP,Applied UV Inc. 10.5% Series A Cumulative Perpetual Preferred Stock $0.0001 par value per share,United States,Consumer Discretionary,Building Products
SWAGW,Stran & Company Inc. Warrant,United States,Consumer Discretionary,Advertising
FGFPP,FG Financial Group Inc. 8.00% Cumulative Preferred Stock,United States,Finance,Property-Casualty Insurers
CELUW,Celularity Inc. Warrant,United States,Health Care,Biotechnology: Pharmaceutical Preparations
SVMHW,SRIVARU Holding Limited Warrant,Cayman Islands,,
FGBIP,First Guaranty Bancshares Inc. 6.75% Series A Fixed-Rate Non-Cumulative Perpetual Preferred Stock,United States,Finance,Savings Institutions
TALKW,Talkspace Inc. Warrant,United States,Health Care,Medical/Nursing Services
NCPLW,Netcapital Inc. Warrants,United States,Finance,Investment Managers
ATNFW,180 Life Sciences Corp. Warrant,United States,Health Care,Biotechnology: Pharmaceutical Preparations
CFFSW,CF Acquisition Corp. VII Warrant,United States,Finance,Blank Checks
ATAKW,Aurora Technology Acquisition Corp. Warrants,United States,Finance,Blank Checks
DMAQR,Deep Medicine Acquisition Corp. Rights,United States,,
NEOVW,NeoVolta Inc. Warrant,United States,Miscellaneous,Industrial Machinery/Components
KERNW,Akerna Corp Warrant,United States,Technology,EDP Services
ATCOL,Atlas Corp. 7.125% Notes due 2027,United Kingdom,Basic Materials,Precious Metals
PSNYW,Polestar Automotive Holding UK PLC Class C-1 ADS (ADW),Sweden,Consumer Discretionary,Auto Manufacturing
CGBDL,Carlyle Secured Lending Inc. 8.20% Notes due 2028,United States,,
TCBPW,TC BioPharm (Holdings) plc Warrants,United Kingdom,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
TCBIO,Texas Capital Bancshares Inc. Depositary Shares 5.75% Fixed Rate Non-Cumulative Perpetual Preferred Stock Series B,United States,Finance,Major Banks
CGABL,The Carlyle Group Inc. 4.625% Subordinated Notes due 2061,United States,Finance,Investment Managers
KITTW,Nauticus Robotics Inc. Warrant,United States,Industrials,Industrial Machinery/Components
TBMCR,Trailblazer Merger Corporation I Rights,United States,Finance,Blank Checks
TBLAW,Taboola.com Ltd. Warrant,Israel,Technology,Computer Software: Programming Data Processing
PTHRU,Pono Capital Three Inc. Unit,United States,Finance,Blank Checks
PTHRW,Pono Capital Three Inc. Warrant,United States,Finance,Blank Checks
ATLCL,Atlanticus Holdings Corporation 6.125% Senior Notes due 2026,United States,Finance,Finance: Consumer Services
ATLCP,Atlanticus Holdings Corporation 7.625% Series B Cumulative Perpetual Preferred Stock no par value per share,United States,Finance,Finance: Consumer Services
FITBP,Fifth Third Bancorp Depositary Shares each representing 1/40th share of Fifth Third 6.00% Non-Cumulative Perpetual Class B Preferred Stock Series A,United States,Finance,Major Banks
FITBO,Fifth Third Bancorp Depositary Shares each representing a 1/1000th ownership interest in a share of Non-Cumulative Perpetual Preferred Stock Series K,United States,Finance,Major Banks
FITBI,Fifth Third Bancorp Depositary Shares,United States,Finance,Major Banks
ATMCR,AlphaTime Acquisition Corp Right,United States,Finance,Blank Checks
PTIXW,Protagenic Therapeutics Inc. Warrant,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ATMVR,AlphaVest Acquisition Corp Right,United States,Finance,Blank Checks
SVIIU,Spring Valley Acquisition Corp. II Unit,United States,Finance,Blank Checks
PXSAP,Pyxis Tankers Inc. 7.75% Series A Cumulative Convertible Preferred Shares,Greece,Consumer Discretionary,Marine Transportation
ATAKR,Aurora Technology Acquisition Corp. Rights,United States,Finance,Blank Checks
CDAQW,Compass Digital Acquisition Corp. Warrant,United States,Finance,Blank Checks
LANDM,Gladstone Land Corporation 5.00% Series D Cumulative Term Preferred Stock,United States,Real Estate,Real Estate Investment Trusts
LANDO,Gladstone Land Corporation 6.00% Series B Cumulative Redeemable Preferred Stock,United States,Real Estate,Real Estate Investment Trusts
LANDP,Gladstone Land Corporation 6.00% Series C Cumulative Redeemable Preferred Stock,United States,Real Estate,Real Estate Investment Trusts
MYPSW,PLAYSTUDIOS Inc. Warrant,United States,Technology,EDP Services
DRMAW,Dermata Therapeutics Inc. Warrant,United States,Health Care,Biotechnology: Pharmaceutical Preparations
LATGU,Chenghe Acquisition I Co. Unit,Mexico,Finance,Blank Checks
FCNCP,First Citizens BancShares Inc. Depositary Shares,United States,Finance,Major Banks
FCNCO,First Citizens BancShares Inc. 5.625% Non-Cumulative Perpetual Preferred Stock Series C,United States,Finance,Major Banks
FCNCA,First Citizens BancShares Inc. Class A Common Stock,United States,Finance,Major Banks
CDIOW,Cardio Diagnostics Holdings Inc. Warrant,United States,Health Care,Biotechnology: Commercial Physical & Biological Resarch
SSSSL,SuRo Capital Corp. 6.00% Notes due 2026,United States,Finance,Finance: Consumer Services
QOMOR,Qomolangma Acquisition Corp. Right,United States,Finance,Blank Checks
PXSAW,Pyxis Tankers Inc. Warrant,Greece,Consumer Discretionary,Marine Transportation
LBRDA,Liberty Broadband Corporation Class A Common Stock,United States,Telecommunications,Cable & Other Pay Television Services
LBRDK,Liberty Broadband Corporation Class C Common Stock,United States,Telecommunications,Cable & Other Pay Television Services
FBYDW,Falcon's Beyond Global Inc. Warrants,United States,,
SRZNW,Surrozen Inc. Warrant,United States,Health Care, Medicinal Chemicals and Botanical Products 
LBRDP,Liberty Broadband Corporation Series A Cumulative Redeemable Preferred Stock,United States,Telecommunications,Cable & Other Pay Television Services
DRTSW,Alpha Tau Medical Ltd. Warrant,Israel,Health Care,Biotechnology: Pharmaceutical Preparations
LBTYA,Liberty Global Ltd. Class A Common Shares,United Kingdom,Telecommunications,Cable & Other Pay Television Services
LBTYB,Liberty Global Ltd. Class B Common Shares,United Kingdom,Telecommunications,Cable & Other Pay Television Services
LBTYK,Liberty Global Ltd. Class C Common Shares,United Kingdom,Telecommunications,Cable & Other Pay Television Services
LCAAU,L Catterton Asia Acquisition Corp Units,Singapore,Finance,Blank Checks
LCAAW,L Catterton Asia Acquisition Corp Warrant,Singapore,Finance,Blank Checks
QETAU,Quetta Acquisition Corporation Unit,United States,,
QETAR,Quetta Acquisition Corporation Right,United States,,
STIXW,Semantix Inc. Warrant,United States,Technology,EDP Services
CDROW,Codere Online Luxembourg S.A. Warrants,Luxembourg,Consumer Discretionary,Services-Misc. Amusement & Recreation
SURGW,SurgePays Inc. Warrant,United States,Consumer Discretionary,Advertising
AVHIW,Achari Ventures Holdings Corp. I Warrant,United States,Finance,Blank Checks
KTTAW,Pasithea Therapeutics Corp. Warrant,United States,Health Care,Biotechnology: Pharmaceutical Preparations
FFIEW,Faraday Future Intelligent Electric Inc. Warrant,United States,Consumer Discretionary,Auto Manufacturing
DPCSW,DP Cap Acquisition Corp I Warrants,United States,Finance,Blank Checks
AVPTW,AvePoint Inc. Warrant,United States,Technology,Computer Software: Prepackaged Software
CEADW,CEA Industries Inc. Warrant,United States,,
STSSW,Sharps Technology Inc. Warrant,United States,Finance,Investment Bankers/Brokers/Service
KVACU,Keen Vision Acquisition Corporation Units,United States,,
KVACW,Keen Vision Acquisition Corporation Warrant,United States,,
STRRP,Star Equity Holdings Inc. Series A Cumulative Perpetual Preferred Stock,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
FEXDU,Fintech Ecosystem Development Corp. Units,United States,Finance,Blank Checks
FEXDR,Fintech Ecosystem Development Corp. Right,United States,Finance,Blank Checks
CDZIP,Cadiz Inc. Depositary Shares,United States,Utilities,Water Supply
AWINW,AERWINS Technologies Inc. Warrant,Japan,Industrials,Industrial Machinery/Components
STRCW,Sarcos Technology and Robotics Corporation Warrants,United States,Industrials,Wholesale Distributors
KWESW,KWESST Micro Systems Inc. Warrant,Canada,Technology,Computer Software: Prepackaged Software
NAMSW,NewAmsterdam Pharma Company N.V. Warrant,Netherlands,Health Care,Biotechnology: Pharmaceutical Preparations
KYCHR,Keyarch Acquisition Corporation Rights,United States,Finance,Blank Checks
KYCHW,Keyarch Acquisition Corporation Warrant,United States,Finance,Blank Checks
QDROU,Quadro Acquisition One Corp. Unit,United States,Finance,Blank Checks
QDROW,Quadro Acquisition One Corp.  Warrant,United States,Finance,Blank Checks
CDTTW,Conduit Pharmaceuticals Inc. Warrant,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ATAKU,Aurora Technology Acquisition Corp. Unit,United States,Finance,Blank Checks
KELYB,Kelly Services Inc. Class B Common Stock,United States,Consumer Discretionary,Professional Services
BAERW,Bridger Aerospace Group Holdings Inc. Warrant,United States,Finance,Blank Checks
FRMEP,First Merchants Corporation Depository Shares,United States,Finance,Major Banks
POWWP,AMMO Inc. 8.75% Series A Cumulative Redeemable Perpetual Preferred Stock,United States,Industrials,Ordnance And Accessories
NMFCZ,New Mountain Finance Corporation 8.250% Notes due 2028,United States,,
ISPOW,Inspirato Incorporated Warrant,United States,Finance,Blank Checks
DHACW,Digital Health Acquisition Corp. Warrant,United States,Health Care,Medical/Nursing Services
CINGW,Cingulate Inc. Warrants,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ISRLW,Israel Acquisitions Corp Warrant,United States,Finance,Blank Checks
DHCAW,DHC Acquisition Corp. Warrant,United States,Finance,Blank Checks
DHCNI,Diversified Healthcare Trust 5.625% Senior Notes due 2042,United States,Real Estate,Real Estate Investment Trusts
PPYAW,Papaya Growth Opportunity Corp. I Warrant,United States,Finance,Blank Checks
DHCNL,Diversified Healthcare Trust 6.25% Senior Notes Due 2046,United States,Real Estate,Real Estate Investment Trusts
ARBEW,Arbe Robotics Ltd. Warrant,Israel,Technology,EDP Services
ARBKL,Argo Blockchain plc 8.75% Senior Notes due 2026,United Kingdom,Technology,EDP Services
TLSIW,TriSalus Life Sciences Inc. Warrant,United States,Health Care,Medical Specialities
NLSPW,NLS Pharmaceutics Ltd. Warrant,Switzerland,Health Care,Biotechnology: Pharmaceutical Preparations
TOIIW,The Oncology Institute Inc. Warrant,United States,Health Care,Medical/Nursing Services
FRLAW,Fortune Rise Acquisition Corporation Warrant,United States,Finance,Finance: Consumer Services
TNONW,Tenon Medical Inc. Warrant,United States,Health Care,Medical Specialities
PRENW,Prenetics Global Limited Warrant,Hong Kong,Industrials,Biotechnology: Laboratory Analytical Instruments
CIFRW,Cipher Mining Inc. Warrant,United States,Finance,Investment Bankers/Brokers/Service
AREBW,American Rebel Holdings Inc. Warrants,United States,Industrials,Plastic Products
TMTCR,TMT Acquisition Corp Rights,United States,Finance,Blank Checks
IVCBW,Investcorp Europe Acquisition Corp I Warrant,Cayman Islands,Finance,Blank Checks
NKGNW,NKGen Biotech Inc. Warrants,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
TMCWW,TMC the metals company Inc. Warrants,Canada,Basic Materials,Metal Mining
APXIW,APx Acquisition Corp. I Warrant,Mexico,Finance,Blank Checks
DGICB,Donegal Group Inc. Class B Common Stock,United States,Finance,Property-Casualty Insurers
DGICA,Donegal Group Inc. Class A Common Stock,United States,Finance,Property-Casualty Insurers
APTMW,Alpha Partners Technology Merger Corp. Warrant,United States,,
DECAU,Denali Capital Acquisition Corp. Unit,United States,Finance,Blank Checks
DECAW,Denali Capital Acquisition Corp. Warrant,United States,Finance,Blank Checks
APACW,StoneBridge Acquisition Corporation Warrant,United States,Finance,Blank Checks
PMGMW,Priveterra Acquisition Corp. II Warrant to purchase Class A common stock,United States,Finance,Blank Checks
APCXW,AppTech Payments Corp. Warrant,United States,Finance,Finance: Consumer Services
PNFPP,Pinnacle Financial Partners Inc. Depositary shares of Pinnacle Financial Partners Inc. each representing a 1/40th Interest in a share of its 6.75% Fixed-Rate Non-Cumulative Perpetual Preferred Stock Series B,United States,Finance,Major Banks
CLBTW,Cellebrite DI Ltd. Warrants,Israel,Technology,Computer Software: Prepackaged Software
FTAIP,FTAI Aviation Ltd. 8.25% Fixed to Floating Rate Series A Cumulative Perpetual Redeemable Preferred Shares,United States,Industrials,Misc Corporate Leasing Services
FTAIO,FTAI Aviation Ltd. 8.00% Fixed-to-Floating Rate Series B Cumulative Perpetual Redeemable Preferred Shares,United States,Industrials,Misc Corporate Leasing Services
APLMW,Apollomics Inc. Warrant,United States,Finance,Blank Checks
TRONW,Corner Growth Acquisition Corp. 2 Warrants,United States,Finance,Blank Checks
FTAIN,FTAI Aviation Ltd. 8.25% Fixed - Rate Reset Series C Cumulative Perpetual Redeemable Preferred Shares,United States,Industrials,Misc Corporate Leasing Services
FTAIM,FTAI Aviation Ltd. 9.500% Fixed-Rate Reset Series D Cumulative Perpetual Redeemable Preferred Shares,United States,Industrials,Misc Corporate Leasing Services
NNAVW,NextNav Inc. Warrant,United States,Industrials,Industrial Machinery/Components
IPXXU,Inflection Point Acquisition Corp. II Unit,United States,Finance,Blank Checks
IPXXW,Inflection Point Acquisition Corp. II Warrant,United States,Finance,Blank Checks
NNAGW,99 Acquisition Group Inc. Warrant,United States,,
DFLIW,Dragonfly Energy Holdings Corp. Warrant,United States,Technology,Electronic Components
NNAGU,99 Acquisition Group Inc. Unit ,United States,,
NNAGR,99 Acquisition Group Inc. Right,United States,,
TRINL,Trinity Capital Inc. 7.00% Notes Due 2025,United States,Finance,Finance/Investors Services
IROHU,Iron Horse Acquisitions Corp. Unit,United States,,
APTMU,Alpha Partners Technology Merger Corp. Unit,United States,,
IVDAW,Iveda Solutions Inc. Warrant,United States,Technology,Computer Software: Prepackaged Software
ARIZR,Arisz Acquisition Corp. Right,United States,Finance,Blank Checks
KELYA,Kelly Services Inc. Class A Common Stock,United States,Consumer Discretionary,Professional Services
JSPRW,Japer Therapeutics Inc. Warrants,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASCAR,A SPAC I Acquisition Corp. Right,Singapore,Finance,Blank Checks
ASCAU,A SPAC I Acquisition Corp. Unit,Singapore,Finance,Blank Checks
ASCBR,A SPAC II Acquisition Corp. Right,Singapore,Finance,Blank Checks
ASCBW,A SPAC II Acquisition Corp. Warrant,Singapore,Finance,Blank Checks
TGAAW,Target Global Acquisition I Corp. Warrant,Cayman Islands,Finance,Blank Checks
TGAAU,Target Global Acquisition I Corp. Unit,Cayman Islands,Finance,Blank Checks
CHKEZ,Chesapeake Energy Corporation Class B Warrants,United States,Energy,Oil & Gas Production
CHKEW,Chesapeake Energy Corporation Class A Warrants,United States,Energy,Oil & Gas Production
CHKEL,Chesapeake Energy Corporation Class C Warrants,United States,Energy,Oil & Gas Production
TFINP,Triumph Financial Inc. Depositary Shares Each Representing a 1/40th Interest in a Share of 7.125% Series C Fixed-Rate Non-Cumulative Perpetual Preferred Stock,United States,Finance,Major Banks
NEWTZ,NewtekOne Inc. 5.50% Notes Due 2026,United States,Finance,Major Banks
PRSTW,Presto Automation Inc. Warrant,United States,Technology,EDP Services
ARIZW,Arisz Acquisition Corp. Warrant,United States,Finance,Blank Checks
JTAIW,Jet.AI Inc. Warrant,Cayman Islands,Finance,Blank Checks
JTAIZ,Jet.AI Inc. Merger Consideration Warrants,Cayman Islands,,
NEWTL,NewtekOne Inc. 5.75% Notes due 2024,United States,Finance,Major Banks
NEWTI,NewtekOne Inc. 8.00% Fixed Rate Senior Notes due 2028,United States,Finance,Major Banks
CHEAU,Chenghe Acquisition Co. Unit,Singapore,Finance,Blank Checks
KACLR,Kairous Acquisition Corp. Limited Rights,Malaysia,Finance,Blank Checks
TECTP,Tectonic Financial Inc. 9.00% Fixed-to-Floating Rate Series B Non-Cumulative Perpetual Preferred Stock,United States,Finance,Commercial Banks
ASTLW,Algoma Steel Group Inc. Warrant,Canada,Industrials,Steel/Iron Ore
NETDW,Nabors Energy Transition Corp. II Warrant,United States,,
NETDU,Nabors Energy Transition Corp. II Unit,United States,,
ASTSW,AST SpaceMobile Inc. Warrant,United States,Consumer Discretionary,Telecommunications Equipment
FNVTW,Finnovate Acquisition Corp. Warrants,Cayman Islands,Finance,Blank Checks
TGVCW,TG Venture Acquisition Corp. Warrants,United States,Finance,Blank Checks
PROCW,Procaps Group S.A. Warrants,Luxembourg,Health Care,Biotechnology: Pharmaceutical Preparations
THCPU,Thunder Bridge Capital Partners IV Inc. Unit,United States,Industrials,Consumer Electronics/Appliances
ARKOW,ARKO Corp. Warrant,United States,Energy,Oil Refining/Marketing
NIOBW,NioCorp Developments Ltd. Warrant,United States,Basic Materials,Metal Mining
DISTR,Distoken Acquisition Corporation Right,China,Finance,Blank Checks
DISTW,Distoken Acquisition Corporation Warrant,China,Finance,Blank Checks
CHSCP,CHS Inc. 8%  Cumulative Redeemable Preferred Stock,United States,Industrials,Farming/Seeds/Milling
CHSCO,CHS Inc. Class B Cumulative Redeemable Preferred Stock,United States,Industrials,Farming/Seeds/Milling
FOSLL,Fossil Group Inc. 7% Senior Notes due 2026,United States,Consumer Discretionary,Consumer Specialties
CHSCN,CHS Inc Preferred Class B Series 2 Reset Rate,United States,Industrials,Farming/Seeds/Milling
ARQQW,Arqit Quantum Inc. Warrants,United Kingdom,Technology,Computer Software: Prepackaged Software
FORTY,Formula Systems (1985) Ltd. American Depositary Shares,Israel,Technology,EDP Services
CHSCM,CHS Inc Class B Reset Rate Cumulative Redeemable Preferred Stock Series 3,United States,Industrials,Farming/Seeds/Milling
CHSCL,CHS Inc Class B Cumulative Redeemable Preferred Stock Series 4,United States,Industrials,Farming/Seeds/Milling
FORLW,Four Leaf Acquisition Corporation Warrants,United States,Finance,Blank Checks
ARRWU,Arrowroot Acquisition Corp. Unit,United States,Finance,Blank Checks
ARRWW,Arrowroot Acquisition Corp. Warrant,United States,Finance,Blank Checks
FORLU,Four Leaf Acquisition Corporation Unit,United States,Finance,Blank Checks
THWWW,Target Hospitality Corp. Warrant expiring 3/15/2024,United States,Consumer Discretionary,Hotels/Resorts
ARTLW,Artelo Biosciences Inc. Warrant,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ARTNA,Artesian Resources Corporation Class A Common Stock,United States,Utilities,Water Supply
JCTCF,Jewett-Cameron Trading Company Common Shares,United States,Consumer Discretionary,RETAIL: Building Materials
PRLHU,Pearl Holdings Acquisition Corp Unit,United States,Finance,Blank Checks
SABSW,SAB Biotherapeutics Inc. Warrant,United States,Health Care,Biotechnology: Pharmaceutical Preparations
THCPW,Thunder Bridge Capital Partners IV Inc. Warrant,United States,Industrials,Consumer Electronics/Appliances
LCAHU,Landcadia Holdings IV Inc. Units,United States,Finance,Blank Checks
FBIOP,Fortress Biotech Inc. 9.375% Series A Cumulative Redeemable Perpetual Preferred Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
IOACU,Innovative International Acquisition Corp. Unit,United States,Finance,Blank Checks
MAQCW,Maquia Capital Acquisition Corporation Warrant,United States,Finance,Blank Checks
BLACU,Bellevue Life Sciences Acquisition Corp. Unit,United States,Finance,Blank Checks
BLACW,Bellevue Life Sciences Acquisition Corp. Warrant,United States,Finance,Blank Checks
MACAU,Moringa Acquisition Corp Units,United States,Finance,Blank Checks
MACAW,Moringa Acquisition Corp Warrant,United States,Finance,Blank Checks
BLDEW,Blade Air Mobility Inc. Warrants,United States,Consumer Discretionary,Transportation Services
ECXWW,ECARX Holdings Inc. Warrants,China,Technology,EDP Services
RMCOW,Royalty Management Holding Corporation Warrant,United States,Miscellaneous,Multi-Sector Companies
BLEUR,bleuacacia ltd Rights,United States,Finance,Blank Checks
BLEUU,bleuacacia ltd Unit,United States,Finance,Blank Checks
BLEUW,bleuacacia ltd Warrants,United States,Finance,Blank Checks
MAPSW,WM Technology Inc. Warrants ,United States,Technology,Computer Software: Prepackaged Software
EDBLW,Edible Garden AG Incorporated Warrant,United States,Consumer Staples,Farming/Seeds/Milling
MBINP,Merchants Bancorp 7.00% Fixed-to-Floating Rate Series A Non-Cumulative Perpetual Preferred Stock,United States,Finance,Major Banks
MARPS,Marine Petroleum Trust Units of Beneficial Interest,United States,Energy,Oil & Gas Production
EOSEW,Eos Energy Enterprises Inc. Warrant,United States,Miscellaneous,Industrial Machinery/Components
SEPAW,SEP Acquisition Corp Warrants,United States,Finance,Blank Checks
BWBBP,Bridgewater Bancshares Inc. Depositary Shares Each Representing a 1/100th Interest in a Share of 5.875% Non-Cumulative Perpetual Preferred Stock Series A,United States,Finance,Major Banks
SENEB,Seneca Foods Corp. Class B Common Stock,United States,Consumer Staples,Packaged Foods
SENEA,Seneca Foods Corp. Class A Common Stock,United States,Consumer Staples,Packaged Foods
MMVWW,MultiMetaVerse Holdings Limited Warrant,Hong Kong,Finance,Blank Checks
RNWWW,ReNew Energy Global plc Warrant,United Kingdom,Utilities,Electric Utilities: Central
SEATW,Vivid Seats Inc. Warrant,United States,Industrials,Industrial Machinery/Components
MBINM,Merchants Bancorp Depositary Shares Each Representing a 1/40th Interest in a Share of 8.25% Fixed-Rate Reset Series D Non-Cumulative Perpetual Preferred Stock,United States,Finance,Major Banks
MBINN,Merchants Bancorp Depositary Shares Preferred Series C,United States,Finance,Major Banks
BLACR,Bellevue Life Sciences Acquisition Corp. Rights,United States,Finance,Blank Checks
MNSBP,MainStreet Bancshares Inc. Depositary Shares,United States,Finance,Major Banks
ECDAW,ECD Automotive Design Inc. Warrant ,United States,Consumer Discretionary,Auto Manufacturing
SHCRW,Sharecare Inc. Warrant,United States,Technology,Computer Software: Prepackaged Software
RILYG,B. Riley Financial Inc. 5.00% Senior Notes due 2026,United States,Finance,Investment Managers
SIGIP,Selective Insurance Group Inc. Depositary Shares each representing a 1/1000th interest in a share of 4.60% Non-Cumulative Preferred Stock Series B,United States,Finance,Property-Casualty Insurers
ESACW,ESGEN Acquisition Corporation Warrants,United States,Finance,Blank Checks
RILYK,B. Riley Financial Inc. 5.50% Senior Notes Due 2026,United States,Finance,Investment Managers
LUCYW,Innovative Eyewear Inc. Series A Warrants,United States,Health Care,Ophthalmic Goods
RILYL,B. Riley Financial Inc. Depositary Shares each representing 1/1000th in a share of 7.375% Series B Cumulative Perpetual Preferred Stock par value $0.0001,United States,Finance,Investment Managers
RILYM,B. Riley Financial Inc. 6.375% Senior Notes due 2025,United States,Finance,Investment Managers
RILYN,B. Riley Financial Inc. 6.50% Senior Notes Due 2026,United States,Finance,Investment Managers
RILYO,B. Riley Financial Inc. 6.75% Senior Notes due 2024,United States,Finance,Investment Managers
RILYP,B. Riley Financial Inc. Depositary Shares each representing a 1/1000th fractional interest in a share of Series A Cumulative Perpetual Preferred Stock,United States,Finance,Investment Managers
SHPWW,Shapeways Holdings Inc. Warrants,United States,Consumer Discretionary,Miscellaneous manufacturing industries
RILYT,B. Riley Financial Inc. 6.00% Senior Notes Due 2028,United States,Finance,Investment Managers
LUNRW,Intuitive Machines Inc. Warrants,United States,Industrials,Industrial Machinery/Components
SHOTW,Safety Shot Inc. Warrant,United States,Health Care,Biotechnology: Pharmaceutical Preparations
BZFDW,BuzzFeed Inc. Warrant,United States,Consumer Discretionary,Movies/Entertainment
LUXHP,LuxUrban Hotels Inc. 13.00% Series A Cumulative Redeemable Preferred Stock,United States,,
RILYZ,B. Riley Financial Inc. 5.25% Senior Notes due 2028,United States,Finance,Investment Managers
MOBXW,Mobix Labs Inc Warrants,United States,Finance,Blank Checks
LVROW,Lavoro Limited Warrant,Brazil,Finance,Blank Checks
MOBBW,Mobilicom Limited Warrants,Israel,Real Estate,Real Estate Investment Trusts
SHFSW,SHF Holdings Inc. Warrants,United States,Finance,Finance: Consumer Services
MNYWW,MoneyHero Limited Warrants,Singapore,,
MNTSW,Momentus Inc. Warrant,United States,,
MBINO,Merchants Bancorp Depositary Shares Each Representing a 1/40th Interest in a Share of Series B  Fixed-to-Floating Rate,United States,Finance,Major Banks
ROCLW,Roth CH Acquisition V Co. Warrant,United States,Finance,Blank Checks
ESGLW,ESGL Holdings Limited Warrants,Singapore,,
SATLW,Satellogic Inc. Warrant,Uruguay,Technology,Radio And Television Broadcasting And Communications Equipment
RVMDW,Revolution Medicines Inc. Warrant,United States,,
BPOPM,Popular Inc. Popular Capital Trust II - 6.125% Cumulative Monthly Income Trust Preferred Securities,United States,Finance,Major Banks
RVPHW,Reviva Pharmaceuticals Holdings Inc. Warrants,United States,Health Care,Biotechnology: Pharmaceutical Preparations
BPYPM,Brookfield Property Partners L.P. 6.25% Class A Cumulative Redeemable Preferred Units Series 1,Bermuda,Finance,Real Estate
BPYPN,Brookfield Property Partners L.P. 5.750% Class A Cumulative Redeemable Perpetual Preferred Units Series 3,Bermuda,Finance,Real Estate
BPYPO,Brookfield Property Partners L.P. 6.375% Class A Cumulative Redeemable Perpetual Preferred Units Series 2,Bermuda,Finance,Finance/Investors Services
BPYPP,Brookfield Property Partners L.P. 6.50% Class A Cumulative Redeemable Perpetual Preferred Units,Bermuda,Finance,Real Estate
MINDP,MIND Technology Inc. Series A 9.00% Series A Cumulative Preferred Stock (DE),United States,Industrials,Industrial Machinery/Components
RVSNW,Rail Vision Ltd. Warrant,Israel,,
BRACR,Broad Capital Acquisition Corp Rights,United States,Finance,Blank Checks
BRACU,Broad Capital Acquisition Corp Unit,United States,Finance,Blank Checks
RWAYL,Runway Growth Finance Corp. 7.50% Notes due 2027,United States,,
MBNKP,Medallion Bank Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series F,United States,Finance,Commercial Banks
RWAYZ,Runway Growth Finance Corp. 8.00% Notes due 2027,United States,,
METCB,Ramaco Resources Inc. Class B Common Stock,United States,Energy,Coal Mining
METCL,Ramaco Resources Inc. 9.00% Senior Notes due 2026,United States,Energy,Coal Mining
BREZR,Breeze Holdings Acquisition Corp. Right,United States,Finance,Blank Checks
BREZW,Breeze Holdings Acquisition Corp. Warrant,United States,Finance,Blank Checks
MFICL,MidCap Financial Investment Corporation 8.00% Notes due 2028,United States,Finance,Finance/Investors Services
SAITW,SAI.TECH Global Corporation Warrant,Singapore,Technology,EDP Services
RYAAY,Ryanair Holdings plc American Depositary Shares,Ireland,Consumer Discretionary,Air Freight/Delivery Services
BRKHW,BurTech Acquisition Corp. Warrants,United States,Finance,Blank Checks
SAGAU,Sagaliam Acquisition Corp. Units,United States,Finance,Blank Checks
BROGW,Brooge Holdings Limited Warrant expiring 12/20/2024,United Kingdom,Energy,Integrated oil Companies
BTBDW,BT Brands Inc. Warrant,United States,Consumer Discretionary,Restaurants
